,gid,Y,총인구,유소년인구,승용차_14시_19시,혼잡빈도강도합,혼잡시간강도합,학원,체육시설,횡단보도,아파트,삼거리,사거리,평균유동인구,신호등,횡단보도길이,주정차단속
0,다사552088,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,다사552089,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,다사553090,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
3,다사558088,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,다사558090,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,다사559088,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,다사559091,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7,다사560085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,다사561081,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
9,다사561083,1,0,0,14728.6,68.76,86.04,0,0,0,0,0,0,8,0,0,0
10,다사561084,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,다사561085,1,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0
12,다사561086,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13,다사561092,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,다사562085,1,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0
15,다사562086,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,다사563083,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
17,다사563084,1,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0
18,다사563085,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,다사563086,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,다사564096,1,0,0,5896.48,18.52,60.11,0,0,0,0,0,0,2,0,0,0
21,다사564097,1,0,0,5896.48,18.52,60.11,0,0,0,0,0,0,0,0,0,0
22,다사565083,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
23,다사565084,0,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0
24,다사565097,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,다사566084,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
26,다사566098,1,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0
27,다사566099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
